,Keyword: ,((hypertension[Title]) AND (BMI[Title/Abstract])) AND (incidence[Title/Abstract]) AND change,,,,
26,Combined Oral Contraceptive Pill-Induced Hypertension and Hypertensive Disorders of Pregnancy: Shared Mechanisms and Clinical Similarities,2021 May 13;23(5):29.,Curr Hypertens Rep,Madugodaralalage D S K Gunaratne,https://doi.org/10.1007/s11906-021-01147-4,"Purpose of review: Oral contraceptive pill-induced hypertension (OCPIH) and hypertensive disorders in pregnancy (HDP) share common risk factors and pathophysiological mechanisms, yet the bidirectional relationship between these two conditions is not well-established. We review and describe OCPIH and HDP to better understand how hormonal and metabolic imbalances affect hypertension.
Recent findings: Oral contraceptive pills continue to be a popular method of contraception, with an incidence of OCPIH ranging from 1-8.5% among OCP users. HDP have an incidence of 5-10% of all pregnancies in the USA and have been shown to be a powerful predictor of lifetime adverse cardiovascular outcomes, including future hypertension. OCPIH and HDP share common risk factors such as age, BMI, past personal and family history of hypertension, as well as pathogenic mechanisms, including alterations in hormonal metabolism and the renin angiotensin aldosterone system; imbalance of vasodilator-vasoconstrictor compounds; and changes in the cardiovascular system. Future research should address additional potential mechanisms that underlie hypertension in these two conditions where endocrine changes, either physiological (pregnancy) or iatrogenic (use of OCP), play a role. This may lead to novel, targeted treatment options to improve hypertension management and overall cardiovascular risk profile management in this subset of young female patients."
27,Body fat distribution and hypertension incidence in women and men. The NHANES I Epidemiologic Follow-up Study,1998 Feb;22(2):127-34.,Int J Obes Relat Metab Disord,R F Gillum,https://doi.org/10.1038/sj.ijo.0800554,"Objective: To test the hypothesis that an elevated ratio of subscapular to triceps skinfold thickness (SFR), one measure of truncal obesity, is associated with increased incidence of essential hypertension.
Design: Data from the NHANES I Epidemiologic Follow-up Study (NHEFS) were analyzed.
Subjects: A cohort of 4303 women and 2579 men with complete data who were normotensive at baseline in 1971-1975.
Measurements: Incidence of hypertension, blood pressure 160/95 mm Hg or greater or on blood pressure medication at follow-up in 1982-1984.
Results: There was a statistically significant increase in risk of hypertension over approximately 10 y follow-up in white women aged 25-74 y with SFR in the fifth compared to the first quintile independent of age and body mass index (BMI) (relative risk = 1.52, 95% confidence interval 1.13-2.06, P = 0.006). The association was somewhat diminished after controlling for baseline blood pressure, change in BMI and other risk variables. An even stronger association was seen for subscapular skinfold and hypertension incidence. In white men aged 25-74 y, a significant association of high SFR with age-, BMI-adjusted risk of hypertension was seen (RR = 1.41, 95% CI 1.01-1.96, P = 0.04). Data for black women or black men failed to reveal significant variation in hypertension risk among quintiles of SFR or subscapular skinfold except in black women with low baseline BMI.
Conclusions: Data from NHEFS confirm the association of higher truncal obesity with increased incidence of hypertension in white women. Further studies are needed, especially in larger samples of black women."
28,"Metabolic syndrome, not menopause, is a risk factor for hypertension in peri-menopausal women",2018 Oct 15;24:14.,Clin Hypertens,Gyu Chul Oh,https://doi.org/10.1186/s40885-018-0099-z,"Background: It has been long debated whether menopause itself is a risk factor for hypertension in peri-menopausal women. We aimed to assess the association between menopause and hypertension, and whether metabolic syndrome (MetS) has an influence on its effect.
Methods: Data for 1502 women aged 42 to 53 from the Korean Genome and Epidemiology Study (KoGES) database were retrospectively analyzed. The KoGES database consists of 10,038 participants, of which 52.6% (5275) were female. Subjects were followed up for 4 years, and compared according to menopausal status. Additionally, 1216 non-hypertensive subjects were separately analyzed to assess whether a change in menopausal status was associated with development of hypertension.

Results: The prevalence of hypertension, diabetes, and MetS for menopausal and non-menopausal subjects at baseline was 24.4% vs. 16.7%, 5.8% vs. 2.9%, and 25.4% vs. 16.6%, respectively (p < 0.01 for all comparisons). Among non-hypertensive subjects at baseline, prevalence of hypertension at 4-year follow-up was 9.4%, 19.7%, and 13.1% for non-menopausal, those who became menopause during follow-up, and those who were menopause at baseline, respectively. Development of hypertension was positively correlated with MetS (HR 3.90, 95% CI 2.51-6.07) and increased BMI (HR 1.09, 95% CI 1.03-1.16), while association with menopause was not significant.

Conclusions: Menopause is closely associated with increased incidence of hypertension, but the increase may not be attributable to menopause itself but to increased prevalence of MetS."
29,"Gamma-glutamyltransferase, fatty liver index and hepatic insulin resistance are associated with incident hypertension in two longitudinal studies",2017 Mar;35(3):493-500.,J Hypertens,Fabrice Bonnet,https://doi.org/10.1097/hjh.0000000000001204,"Objective: We hypothesized that liver markers and the fatty liver index (FLI) are predictive of incident hypertension and that hepatic insulin resistance plays a role.
Methods: The association between liver markers and incident hypertension was analysed in two longitudinal studies of normotensive individuals, 2565 from the 9-year data from an epidemiological study on the insulin resistance cohort and the 321 from the 3-year 'Relationship between Insulin Sensitivity and Cardiovascular disease' cohort who had a measure of endogenous glucose production. The FLI is calculated from BMI, waist circumference, triglycerides and gamma-glutamyltransferase (GGT) and the hepatic insulin resistance index from endogenous glucose production and fasting insulin.
Results: The incidence of hypertension increased across the quartiles groups of both baseline GGT and alanine aminotransferase. After adjustment for sex, age, waist circumference, fasting glucose, smoking and alcohol intake, only GGT was significantly related with incident hypertension [standardized odds ratio: 1.21; 95% confidence interval (1.10-1.34); P = 0.0001]. The change in GGT levels over the follow-up was also related with an increased risk of hypertension, independently of changes in body weight. FLI analysed as a continuous value, or FLI at least 60 at baseline were predictive of incident hypertension in the multivariable model. In the RISC cohort, the hepatic insulin resistance index was positively related with the risk of 3-year incident hypertension [standardized odds ratio: 1.54 (1.07-2.22); P = 0.02].
Conclusion: Baseline GGT and FLI, as well as an increase in GGT over time, were associated with the risk of incident hypertension. Enhanced hepatic insulin resistance predicted the onset of hypertension and may be a link between liver markers and hypertension."
30,[Association between body mass index and ten-year-accumulative-risk of hypertension],2009 May;30(5):435-8.,Zhonghua Liu Xing Bing Xue Za Zhi,Dong Zhao,,"Objective: To explore the association between body mass index (BMI) and ten-year accumulative risk of hypertension.
Methods: A prospective study of relationship between blood pressure and other traditional risk factors was carried out in a cohort with 2115 people aged 35-64 years old involved, in 1992 and 2002. The association between baseline BMI level and a ten-year accumulative risk of hypertension was analyzed.
Results: The ten-year accumulative incidence rate of hypertension was 34.8%, and increased with the elevated baseline BMI level in both genders (P < 0.001). Similar changing trends were observed in both age groups of 45-54 year and 55-64 year olds (P < 0.05). Multivariable OR (95% CI) of accumulative incident hypertension in the highest BMI tertile ( > or =28 kg/m2) was 3.569 higher (2.559 to 4.977) when compared to the lowest ( <24 kg/m2n). The ten-year accumulative risk of hypertension increased 17.5% with elevation of baseline BMI level by 1 kg/m2. The ten-year accumulative incidence rate of hypertension was 22.0% in the subjects with normal BMI and 56.3% in those with obesity, both in 1992 and 2002.
Conclusion: BMI appeared to be an independent risk factor for hypertension, and the risk of incident hypertension increased with elevated BMI level."
31,Risk of progression to hypertension across baseline blood pressure in nonhypertensive participants among rural Chinese adults: a prospective study,2010 Jun;28(6):1158-65.,J Hypertens,Liqiang Zheng,https://doi.org/10.1097/hjh.0b013e3283378568,"Objectives: To assess the risk of progression to hypertension across baseline blood pressure (BP) level among rural Chinese adults.
Methods: A population-based sample of 24 052 rural Chinese adults aged at least 35 years and free from hypertension at baseline were followed up from 2004-2006 to 2008. Incident hypertension was defined as SBP of at least 140 mmHg, DBP of at least 90 mmHg, current use of antihypertensive medication, or all.

Results: During a median follow-up of 28 months, 26.5% participants developed clinical hypertension, most of which were untreated and uncontrolled. The cumulative incidence of hypertension in participants with optimal, normal, and high-normal BP was 21.2, 25.2, and 32.4%, respectively. The higher incidence of hypertension (per 100 person-years) was obviously observed in higher BP category at baseline among both older and younger groups (both P for trend <0.05). Compared with optimal BP, the adjusted hazard ratios of participants with normal and high-normal BP for incident hypertension were 1.16 (95% confidence interval 1.08-1.24) and 1.28 (95% confidence interval 1.20-1.36), respectively. In addition, older age, men, Mongolian ethnicity, alcohol drinking, family history of hypertension, BMI, and change in BMI during follow-up were also independently associated with incident hypertension.

Conclusion: There was a stepwise increase in risk of progression to hypertension across baseline BP level. This information could help us define a population at high risk of progression to hypertension, to underscore the importance of frequent BP monitoring, and early interventions in rural Chinese adults."
32,Cardiovascular-sleep interaction in drug-na??ve patients with essential grade I hypertension,2013 Mar;30(1-2):31-42.,Chronobiol Int,Daniela Grimaldi,https://doi.org/10.3109/07420528.2012.701139,"Lack of nighttime blood pressure (BP) reduction by 10-20% from the mean daytime values (dipping) has been described as a distinguishing feature of essential hypertension and associated, also in normotensive subjects, with increased cardiovascular (CV) risk. Mechanisms involved in the loss of the nocturnal dip are still unclear, but involvement of autonomic nervous system (ANS) activity probably plays a crucial role. Sleep is fundamental in modulating ANS activity to maintain the physiological BP circadian rhythm, and for this reason its integrity has been widely investigated in hypertension. We investigated, under controlled conditions, the autonomic control of the CV system through an autonomic reflex screen in the awake condition and by assessment of circadian rhythm-, day-night-, time-, and state-dependent changes of BP and heart rate (HR) and associated sleep parameters in patients with a recent (???1 yr) diagnosis of essential grade I hypertension na??ve of therapy. Fourteen hypertensive patients (6 males, age: 43 ?? 11 yrs; body mass index [BMI]: 24 ?? 3 kg/m(2)) were compared with 28 healthy controls matched for sex, age, BMI (2 controls/patient) for cardiovascular reflex and to 8 different subjects from previous controls (6 males), comparable for age and BMI, for the day-night and nighttime CV profiles during two consecutive nights. The cardiovascular reflex screen data showed increased sympathetic effect in hypertensive patients, represented by higher overshoot of BP after Valsalva maneuver. Nighttime sleep architecture during the dark period in terms of duration, representation of sleep stages, sleep fragmentation, and incidence of arousals-periodic limb movements in sleep (PLMS) and PLMS arousals-was similar in patients and controls. Hypertensive patients displayed higher 24-h BP and HR values, but their sleep-related BP decrease was significantly reduced compared with controls. The circadian rhythms of BP and HR were intact and similar in patients and controls, coupling with the expected physiological peak time. BP and HR showed normal state-dependent modulation in hypertensive patients that, however, was higher in all sleep stages compared with controls. The lowering of systolic blood pressure (SBP) during non-rapid eye movement (NREM) sleep stages 1 and 2 and REM sleep, relative to daytime wake values, was significantly attenuated in the hypertensive group, whereas it was comparable to controls during slow-wave sleep. In hypertensive patients, analysis of sleep and CV parameters in the 90 min following sleep onset and preceding morning awakening showed normal depressor effect during the first part of the night after sleep onset and significantly higher BP rise in the hours preceding morning awakening. These findings were associated with comparable sleep architecture, sleep fragmentation, incidence of arousals, and PLMS and PLMS arousals in patients and controls. Our data suggest that drug-na??ve essential grade I hypertension is associated with signs of increased vascular sympathetic response to standardized stress of the Valsalva maneuver during the awake condition, and during sleep with a non-dipping BP profile plus higher BP surge preceding morning awakening, assessable only by around-the-clock ambulatory BP monitoring, both representing additional CV risk already in early-stage hypertension and, therefore, requiring proper selection of pharmacological treatment."
33,Health-related quality of life and risk of hypertension in the community: prospective results from the Western New York Health Study,2015 Apr;33(4):720-6; discussion 726.,J Hypertens,Saverio Stranges,https://doi.org/10.1097/hjh.0000000000000465,"Objectives: Measures of health-related quality of life (HRQL) are strong predictors of health outcomes including cardiovascular disease (CVD). However, prospective evidence on the potential impact of these measures on hypertension risk is scant. We therefore examined the independent role of HRQL on the risk of hypertension in a 6-year longitudinal investigation among 979 women and men (mean age 54.3 years) from the community, who were free of hypertension, CVD and diabetes at the baseline examination.

Methods: Baseline variables included socio-demographics, anthropometrics, blood pressure, behavioural risk factors and measures of HRQL, such as the physical and mental health component summaries of the short form-36 questionnaire (SF-36). Incident hypertension was defined as blood pressure at least 140/90 mmHg or on antihypertensive medication at the follow-up visit.

Results: The cumulative 6-year incidence of hypertension was 21.9% (214/979). In bivariate analyses, there were several baseline correlates of incident hypertension, including age, abdominal height, BMI and baseline blood pressure levels in both sexes, whereas impaired fasting glucose, family history of hypertension and the SF-36 physical score were all significantly associated with hypertension among women only. After multivariate adjustment, the SF-36 physical scores [odds ratio (OR) 0.97, 0.94-0.99 for unit change] were still significant predictors of hypertension in women only, independent of age, anthropometrics, baseline SBP levels, behavioural risk factors and other covariates.

Conclusion: Measures of HRQL may represent independent predictors of hypertension risk, at least among women, above and beyond the role of traditional risk factors, such as age, anthropometrics and genetic predisposition."
34,Risk of progression to hypertension in a rural Chinese women population with prehypertension and normal blood pressure,2010 Jun;23(6):627-32.,Am J Hypertens,Zhaoqing Sun,https://doi.org/10.1038/ajh.2010.41,"Background: To determine the incidence of hypertension and its risk factors among rural Chinese women with prehypertension and normotension.
Methods: A population-based sample of 12,060 rural Chinese women aged > or = 35 years and free from hypertension at baseline were followed from 2004-2006 to 2008. Incident hypertension was defined as systolic blood pressure (SBP) > or = 140 mm Hg, diastolic blood pressure (DBP) > or = 90 mm Hg, or current use of antihypertensive medication.

Results: Over a median follow-up of 28 months (range, 14-47 months), 23.4% of women developed hypertension. The age-adjusted incidence rate was higher in prehypertension than in normotension (11.2/100 person-years vs. 7.9/100 person-years, P < 0.05). Among women with prehypertension, independent predictors of incident hypertension were baseline age, Mongolian ethnicity, low physical activity, baseline body mass index (BMI), baseline salt intake and family history of hypertension. Among women with normal blood pressure (BP), independent predictors were baseline age, low physical activity, baseline BMI and baseline salt intake. The awareness, treatment, and control rates for newly developed hypertension were 33.2, 23.0, and 2.1%, respectively.

Conclusions: These data indicate that the incidence of hypertension is high among rural Chinese women and it is associated with many risk factors, and the data also suggest that most newly developed hypertension cases are not treated. This high incidence of hypertension may be related to rapid social changes in our country and may apply to other areas of the developing world. These results call for urgent improvements in hypertension prevention, detection and treatment."
35,C-reactive protein implications in new-onset hypertension in a healthy population initially aged 65 years: the Proof study,2009 Apr;27(4):736-43.,J Hypertens,Virginie Dauphinot,https://doi.org/10.1097/hjh.0b013e328326f801,"Background: Because inflammation is known to be related with several cardiovascular diseases, we sought to determine whether C-reactive protein (CRP) might precede the onset of hypertension.

Methods: The study population was selected from the Proof study cohort including 1011 individuals initially aged 65 years at baseline and followed for 7 years. CRP, ambulatory blood pressure measurement (ABPM) and casual blood pressure were repeatedly measured during examination. Normotensive individuals were selected according to different measurements of blood pressure, self-reported history of hypertension and use of antihypertensive treatment.

Results: Among 335 individuals, considered normotensive at baseline with ABPM (threshold 135/85 mmHg), with no history of hypertension and no use of antihypertensive treatment, the incidence of hypertension was 9.9% 2 years later. The 2-year risk for new-onset hypertension was 18% greater for 1 mg/l increment of CRP (odds ratio, 1.18; 95% confidence interval, 1.01-1.39). This relationship remained after adjustment for low-density lipoprotein cholesterol, BMI and change in CRP between the two examinations but not after adjustment for 24-h systolic ABPM. Among the 160 individuals considered normotensive at baseline with an additional criterion (casual blood pressure below 140/90 mmHg), the incidence of hypertension was 26.9% 2 years later. The 2-year risk for new-onset hypertension was 52% greater for 1 mg/l increment of CRP (odds ratio, 1.52; 95% confidence interval, 1.17-1.96) after adjustment for systolic ABPM, change in CRP and BMI.

Conclusion: An elevated baseline CRP value precedes new-onset hypertension at an early stage among an elderly healthy population. Whether CRP measurement can ease the detection of patients likely to develop clinical hypertension remains to be determined."
36,[A four-year prospective study of the relationship between body mass index and waist circumstances and hypertension in Chinese adults],2007 Jul;36(4):478-80.,Wei Sheng Yan Jiu,Yuan Li,,"Objective: To explore whether the increase of body mass index (BMI) and waist circumstances (WC) can predict the higher risk of hypertension in Chinese adults.
Methods: The data were collected in the China Health and Nutrition Survey (CHNS). A total of 4552 adults aged 18-60 years old were selected as the subjects who were healthy in the baseline survey in 2000 and followed up in 2004. Logistic regression models were used to estimate the relative risk (RR) of developing hypertension associated with the BMI and WC in baseline and the four-year change of BMI and WC.

Results: The incidence of hypertension of men and women was 20.01% and 13.52% respectively during the four years of follow-up. The risk of developing hypertension rose with the increase of either BMI or WC in baseline. Compared with the group of neither general obesity (defined by BMI) nor abdominal obesity (defined by WC) group with both general obesity and abdominal obesity had the highest risk (men RR = 2.840, 95% CI: 2.139-3.771, women RR = 2.734, 95% CI: 2.050-3.647) among the different combinations of BMI and WC. Adjusted for other factors the risk of developing hypertension also increased with the four-year augment of either BMI or WC (BMI: men, RR = 1.141, 95% CI: 1.087-1.199, women, RR = 1.109, 95% CI: 1.056-1.164, WC: men, RR = 1.038, 95% CI: 1.022-1.055, women, RR = 1.035, 95% CI: 1.018-1.052).

Conclusion: The increase of BMI and WC can predict the higher risk of the development of hypertension. The combination of BMI and WC can increase the predictive efficacy of the incidence of hypertension."
37,Associations between weight gain and incident hypertension in a bi-ethnic cohort: the Atherosclerosis Risk in Communities Study,2002 Jan;26(1):58-64.,Int J Obes Relat Metab Disord,Juhaeri,https://doi.org/10.1038/sj.ijo.0801846,"Objective: To examine associations between weight gain and changes in blood pressure and the incidence of hypertension in four ethnicity-gender groups.
Design: Longitudinal closed cohort studied over an average of 6 y.
Subjects: Total of 9309 white and African-American men and women 45-64 y of age who participated in the Atherosclerosis Risk in Communities (ARIC) Study.

Methods: Weight and blood pressure were measured at baseline and after an average of 3 and 6 y of follow-up. Proportional hazard models with weight gain as a time-dependent variable were used to examine the association between weight gain and changes in blood pressure and hypertension. Multivariate models were used with baseline SBP, DBP, age, BMI, height, WHR, smoking, physical activity, education, caloric intake, fat intake and study center as covariates.

Results: Weight gain was associated with increases in SBP and DBP in all groups. Hazard ratios for hypertension associated with 1 kg annual weight gain were 1.36 (95% CI, 1.29, 1.45) in white women, 1.12 (95% CI, 1.03, 1.21) in African-American women, 1.35 (95% CI, 1.27, 1.43) in white men and 1.43 (95% CI, 1.27,1.61) in African-American men.

Conclusion: Weight gain was associated with increased blood pressure and increased incidence of hypertension. The association was weaker among African-American women 
compared to other ethnicity-gender groups."
38,Association of benign intracranial hypertension and spontaneous encephalocele with cerebrospinal fluid leak,2012 Dec;33(9):1621-4.,Otol Neurotol,Laura Brainard,https://doi.org/10.1097/mao.0b013e318271c312,"Objective: To determine the incidence of intracranial hypertension in patients with spontaneous encephalocele with cerebrospinal fluid (CSF) leak.
Study design: Retrospective case review.
Setting: Tertiary care neurotology practice.
Patients: Patients presenting between 2008 and 2011 with spontaneous encephalocele and CSF leak in the temporal bone.
Intervention(s): Lumbar puncture with opening pressure measurement after encephalocele repair.
Main outcome measures: Patient age, sex, postoperative course, body mass index, and postoperative intracranial pressure.

Results: Of the 26 patients identified with spontaneous encephalocele with CSF leak, 9 patients had postoperative lumbar puncture data. Of those 9, 89% were female subjects, and 11% were male, with a mean age of 57 and a mean BMI of 41 kg/m (morbidly obese). The mean opening pressure was 24.5 cm H(2)O. Approximately 33% had normal intracranial pressure (mean, 15 cm H(2)O; range, 10-17 cm H(2)O); 67% had elevated intracranial pressure (mean, 29 cm H(2)O; range, 23.5-40 cm H(2)O). The incidence of BIH in the general population is 0.001%. Of the 6 with intracranial hypertension, 3 (50%) were placed on acetazolamide for fundoscopic findings, postoperative headache, and/or visual changes. Mean time to LP after repair of encephalocele was 13 months (range, 4 days to 75 months).

Conclusion: This study shows that benign intracranial hypertension is prevalent in a significant number of patients presenting with spontaneous encephalocele with CSF otorrhea at a rate much higher than is found in the general population. This finding has direct clinical implications and suggests that all patients with spontaneous encephalocele/CSF leak warrant evaluation for benign intracranial hypertension."
39,Physical activity in the prevention and treatment of hypertension in the obese,1999 Nov;31(11 Suppl):S624-30.,Med Sci Sports Exerc,R H Fagard,https://doi.org/10.1097/00005768-199911001-00022,"Physical activity in the prevention and treatment of hypertension in the obese.
Purpose: The purpose of this paper was to assess the value of physical exercise in the prevention and treatment of hypertension with particular attention to possible interactions with relative weight.

Methods: We describe epidemiological studies and report meta-analyses of randomized intervention trials, i.e., randomized controlled trials on dynamic physical training and randomized comparative trials of exercise and diet.

Results: Epidemiological studies show an inverse relationship between physical activity or fitness and the incidence of hypertension, which was either independent of body size or more pronounced in the overweight. The weighted net reduction of blood pressure in response to dynamic physical training averages 3.4/2.4 mm Hg (P < 0.001), which appears to be unrelated to the initial body mass index (BMI) and to its training-induced changes. Exercise is less effective than diet in lowering blood pressure (P < 0.02), and adding exercise to diet does not appear to further reduce blood pressure. Future studies should observe scientific criteria more strictly, address the truly obese (BMI > or = 30 kg x m(-2)) and attempt to resolve the blood pressure lowering mechanisms.
Conclusion: Physical activity contributes to the control of blood pressure in overweight as well as in lean subjects."
40,Predictors of hypertension and changes of blood pressure in HIV-infected patients,2005;10(7):811-23.,Antivir Ther,Rodolphe Thi??baut,,"Objective: We assessed predictors of changes in systolic (SBP) and diastolic (DBP) blood pressure during follow-up and of the development of hypertension in HIV-infected individuals.

Methods: International cohort collaborative study (D:A:D) of established prospective cohorts of HIV-1-infected patients. Longitudinal analysis of changes in blood pressure (BP) was performed using mixed effects models in 17170 patients. Predictors of development of hypertension during follow-up (systolic BP > or =140 and/or diastolic BP > or =90 mmHg or initiation of antihypertensive treatment) were assessed using Cox models in 8 984 patients with a normal BP level at baseline.
Results: 73548 BP measurements with a median of 4 per patient (interquartile range [IQR]: 2-6) were recorded over a median follow-up of 2.3 years (IQR: 1.5-2.6). Risk factors significantly associated with a development of higher systolic BP and diastolic BP (differences > or =5 mmHg and P-values <0.001) during follow-up were: older age, male sex, higher body mass index (BMI) and use of BP-lowering drugs. In patients with normal BP at baseline, 1186 developed hypertension for an incidence of 72.1 per 1000 person-years (95% confidence interval: 68.2-76.0). Factors associated with development of hypertension were: male sex, higher BMI, older age, higher BP at baseline, high total cholesterol and clinical lipodystrophy. Cumulative duration of exposure to nucleoside reverse transcriptase inhibitors (P=0.75), protease inhibitors (P=0.92) as well as type of antiretroviral treatment at baseline (P=0.18) were not associated with a higher risk of hypertension. Cumulative duration of exposure to non-nucleoside reverse transcriptase inhibitors (NNRTIs) was significantly associated with lower risk of hypertension (hazard ratio=0.78 and 0.67 for those treated < or =10 months and >10 months compared with no exposure; P=0.005).

Conclusions: Increased blood pressure in HIV-infected individuals is associated with established risk factors for hypertension. There was no evidence for an independent deleterious effect of any class of antiretroviral drugs on BP, although the use of NNRTIs was associated with a lower risk of development of hypertension."
41,Increases in job strain are associated with incident hypertension in the CARDIA Study,2004 Aug;28(1):4-9.,Ann Behav Med,Jerome H Markovitz,https://doi.org/10.1207/s15324796abm2801_2,"Background: Job strain, defined as high job demands and low decision latitude, has been associated with increased blood pressure levels in some studies, but most of these studies have been cross-sectional.
Purpose: We sought to determine whether changes in job strain during young adulthood were associated with the development of hypertension, using the Coronary Artery Risk Development in Young Adults cohort.

Methods: A total of 3,200 employed, initially normotensive participants, aged 20 to 32 in 1987-1988, were followed for 8 years; the Job Content Questionnaire was completed twice: initially and 8 years later. Hypertension at follow-up was defined as systolic blood pressure (SBP) of 160 or higher and diastolic blood pressure of 95 mmHg or higher, or reporting being on antihypertensive medication.

Results: Job strain (based on job demands above the median and decision latitude below the median of the sample) was associated with hypertension incidence (ps <.05) for the entire cohort and among White women and men. Adjustment for baseline SBP, education, body mass index (BMI), change in BMI, and age did not alter these relations. The ratio of increasing demands relative to decreasing decision latitude was also associated with greater incidence of hypertension in the entire cohort in the multivariate model (odds ratio = 2.06, 95% confidence interval = 1.01-4.26).

Conclusions: An increase in job strain is associated with incident hypertension, particularly among Whites."
42,"The Olivetti Heart Study: Predictive value of a new adiposity index on risk of hypertension, blood pressure, and subclinical organ damage",2016 Jul;26(7):630-636.,Nutr Metab Cardiovasc Dis,L D'Elia,https://doi.org/10.1016/j.numecd.2016.03.009,"Background and aims: Recently, some studies have indicated that a new anthropometric index, body adiposity index (BAI), could be more strongly correlated with the percentage of body fat than BMI. However, the results on its role in predicting cardiovascular risk were not univocal. Therefore, the aim of our study was to compare the predictive role of BMI and BAI on risk of hypertension (HP), blood pressure (BP) changes, and subclinical organ damage after an 8-year follow-up, in a sample of adult men participating in the Olivetti Heart Study.

Methods and results: Participants were 350 untreated normotensive men without diabetes, examined twice at baseline (1994-95) and after 8 years of follow-up [2002-04]. BMI was expressed as kg/m(2). BAI was calculated according to the following formula: [(hip circumference (cm)/height(1.5) (m)) - 18]. Subclinical organ damage was detected by urinary albumin excretion (UAE) and left ventricular mass, evaluated by the Cornell product (CP). At baseline, BAI and BMI were both associated with diastolic blood pressure (DBP) and mean arterial pressure (MAP). After 8 years, both baseline BAI and BMI were associated with changes (??) in systolic BP, MAP and pulse pressure, while only BMI was also positively related to ??DBP. Analysis of HP incidence showed that both indices were significant predictors of HP. In addition, both BAI and BMI were significantly associated with ??UAE, but not with ??CP. Analysis of the changes in BAI and BMI confirmed these results, as the two indices were significantly associated with risk of HP and changes in BP and UAE, but not with changes in CP.

Conclusions: In this sample of healthy adult men, BAI and BMI were significant predictors of risk of HP and changes in BP, after an 8-years follow-up. In addition both indices predicted UAE changes, but neither was associated with the CP changes."
43,Effect of Bariatric Surgery on the Cardiovascular System in Obese Cases with Pulmonary Hypertension,2021 Feb;31(2):523-530.,Obes Surg,Ahmed Abdallah Salman,https://doi.org/10.1007/s11695-020-04852-2,"Introduction and aim: Recently, the incidence of obesity has been rising exponentially. Clinical studies have demonstrated that different subtypes of pulmonary hypertension (PH) are linked to obesity. The current work mainly aims to assess the impact of laparoscopic sleeve gastrectomy (LSG) on PH in a cohort of obese cases.
Patients and methods: The present prospective work included 37 obese cases with PH for whom LSG was done. Only cases with PH and presurgical right ventricular systolic pressure (RVSP) ??? 35 mmHg using Doppler echocardiogram were enrolled. Fifteen months later, patients were reassessed regarding new weight and BMI in addition to changes in RVSP.

Results: At the end of follow-up, the average BMI improved from 45.8 + 3.9 to 33.8 + 2.5 Kg/m2 (p value < 0.001). Improved right ventricular (RV) size compared to baseline echo was observed in 20 patients. RV size decreased from 2.68 + 0.44 cm to 2.34 + 0.36 cm (p value < 0.001). Notable decrease of PH to less than 30 mmHg occurred in 33 patients. Mean RVSP decreased from 39.62 + 2.1 to 31.81 + 3.1 mmHg (p value < 0.001). LSG significantly decreased the requirements for PH drugs and supplemental oxygen therapy.

Conclusion: The current work suggests that LSG-induced weight loss may result in a considerable decrease in pulmonary pressures as well as RV size with a concurrent resolution of other metabolic comorbidities."
44,"Diabetes, obesity and hypertension in urban and rural people of bedouin origin in the United Arab Emirates",1995 Dec;98(6):407-15.,J Trop Med Hyg,I T el Mugamer,,"In the United Arab Emirates, coronary heart disease has emerged as the leading cause of mortality over a 20-year period of rapid socioeconomic development. CHD risk factors of non-insulin dependent diabetes mellitus (NIDDM), obesity and hypertension were investigated by community based survey among a bedouin-derived Emirati population sample of 322 subjects (> or = 20 years). Diagnosis of diabetes was based on a random capillary blood glucose level > or = 11.1 mmol l-1. Overall diabetes prevalence was 6% (11% in male and 7% in female subjects aged 30-64 years). Urban residence was associated with higher blood glucose levels (P = 0.000), and with higher Body Mass Index (BMI) values (P = 0.002): 27% of all urban residents were obese (BMI > or = 30). The Shamsi were positively associated with higher blood glucose levels compared with other tribal groups (P = 0.000). Female gender was associated with higher BMI values (P = 0.000). Between 19 and 25% of all subjects (male or female; urban or rural residents) have systolic hypertension (> 140 mm Hg). Male gender was associated with raised diastolic BP (P = 0.023). Diabetes was associated with higher mean systolic (P = 0.0274) and diastolic (P = 0.0132) BP levels. Differences in lifestyle between urban and rural residents are becoming blurred with further socioeconomic development and it is expected that the incidence of these CHD risk factors will continue to rise. Further studies are needed to specify changes associated with urbanization. Tribal influence also merits further study given the tradition of consanguinity in the UAE and the genetic basis to NIDDM."
