,Unnamed: 0,title,year,journal,authors,links,abstract
71,71,Incontinence-associated dermatitis: who is affected?,2021,J Wound Care,Priscilla Pather,https://doi.org/10.12968/jowc.2021.30.4.261,"Objective: Intensive care unit (ICU) patients possess multiple risk factors for developing loss of skin integrity, particularly incontinence-associated dermatitis (IAD). IAD is an inflammatory skin condition resulting from repeated and prolonged contact with urine, faeces or both. This study aimed to measure the incidence and clinical characteristics of adult ICU patients with IAD.
Method: This was a prospective observational study conducted over three months in an adult ICU. Included patients were ≥18 years who experienced faecal incontinence during their intensive care admission. Patients were excluded if they had an ileostomy or colostomy, had IAD on admission, or were continent of urine and faeces. Skin inspections were performed every second day on all recruited patients by trained research nurses. Other data were collected from patient medical records.
Results: A total of 37 patients took part in the study. Incidence of IAD was 35.1%; 13 patients who had incontinence developed IAD. The mean time to onset of IAD was 3.69 days, median 3 days (SD: 1.8, range: 2-8 days). Of the 13 patients who developed IAD, 12 (92.3%) patients were initially assessed as having category 1 IAD and one (7.7%) patient was initially assessed with category 2 IAD. Of the patients with category 1 IAD, one patient (7.7%) progressed to category 2 IAD severity.
Conclusion: A larger sample is recommended to fully explore ICU patient characteristics and IAD development. The incidence of IAD in ICU patients was high at 35%, indicating this condition requires due consideration in ICU patients."
72,72,Incidence and Characteristics of Incontinence-Associated Dermatitis in Community-Dwelling Persons With Fecal Incontinence,2015,J Wound Ostomy Continence Nurs,Donna Zimmaro Bliss,https://doi.org/10.1097/won.0000000000000159,"Purpose: Little is known about the incidence and characteristics of incontinence-associated dermatitis (IAD) in community-living individuals with fecal incontinence. The primary aim of this study was to describe the incidence and characteristics of self-reported IAD among community-living individuals with fecal incontinence. The study also examined whether IAD was associated with older age, sex, presence of urinary incontinence, or fecal incontinence severity.
Design: Secondary data analysis was performed using a prospective cohort design.
Subjects and setting: Data were drawn from community-living adults (n = 98) with fecal incontinence (76% female, 34% aged ≥65 years, 90% white) who participated in a study about dietary fiber supplementation and were free of IAD at the start. Thirty five percent also had urinary incontinence.
Methods: Subjects assessed their skin for IAD daily for 52 days, reporting types of IAD damage (redness, rash/fungal infection, and skin loss), location of IAD, and symptoms. They reported fecal incontinence on a diary for the first and last 14 study days.
Results: The incidence of IAD was 41% (40 of the 98). The fecal incontinence severity score for subjects developing IAD was 1.2 higher than those who never had IAD (P < .001). There was no significant association of IAD with age, sex, or dual fecal and urinary incontinence. Incontinence-associated dermatitis developed within 2 weeks and healed in approximately 1 week. The most common sign and symptom were redness (60% patients) and soreness (78% patients), respectively. Most subjects (85%) had IAD in one location.
Conclusions: Assessing for IAD in community-living patients with fecal incontinence is important as IAD is common and causes discomfort. The relatively mild severity of IAD offers WOC nurses the opportunity for improving patient outcomes by preventing and managing this problem."
73,73,From incontinence associated dermatitis to pressure ulcers,2014,J Wound Care,Amit Gefen,https://doi.org/10.12968/jowc.2014.23.7.345,
74,74,[Diaper dermatitis],2015,Ann Dermatol Venereol,L Lagier,https://doi.org/10.1016/j.annder.2014.09.611,
75,75,Comparison the effects of topical application of olive and calendula ointments on Children's diaper dermatitis: A triple-blind randomized clinical trial,2018,Dermatol Ther,Zahra Sharifi-Heris,https://doi.org/10.1111/dth.12731,"This study compares the effective of of topical application of olive and calendula ointments on childrens' diaper dermatitis (DD). This triple-blind clinical trial was conducted on 73 healthy children under the age of 2 years with non-severe and not infected DD, referred to a pediatric healthcare center in Tabriz, Iran. The children were assigned to 1.5% olive ointment (n = 37) and 1.5% calendula ointment (n = 39) using a random block method with the ratio of 2:2. The severity of DD in both groups was measured and compared on a six-point scale on days 0 (before the intervention) and 3, 5, and 7 after interventions. The findings releaved there was not significant stastistical difference between the olive oil and calendula groups in terms of severity of DD in the third, fifth and seventh days. No adverse effect was reported from either of the medications in this study. The external validity and consequently the ability to generalize the findings may be diminished as this study was conducted at a single site. Owing to olive ointment and calendula ointment providing the same results in the healing of DD, olive ointment can be used as an alternative case to DD."
76,76,Differential Diagnosis of Diaper Dermatitis,2017,Clin Pediatr (Phila),Bernard Cohen,https://doi.org/10.1177/0009922817706982,"Mild diaper dermatitis often occurs in children before toilet training is complete, particularly from 9 to 12 months of age, and the most common presentation is an irritant contact dermatitis. Diaper dermatitis may account for up to 25% of dermatology visits to health care providers during the first year of life. Fortunately, since the introduction of hypoallergenic, superabsorbent modern disposable diapers, the incidence and severity of irritant and allergic contact dermatitis has decreased dramatically. Diaper dermatitis broadly refers to skin disorders that occur in the diaper area, such as skin eruptions triggered by diapers, rashes exacerbated by the diaper, and other events that occur in the diaper area. A number of skin conditions that can occur anywhere on the skin may present with distinctive findings in the diaper area. The following discussion will review the most common triggers of diaper dermatitis and contact irritant dermatitis, while focusing on the skin conditions that may be associated or overlap clinically with contact dermatitis."
77,77,Caring for patients with urinary incontinence-associated dermatitis,2019,Br J Nurs,Sarah Hillery,https://doi.org/10.12968/bjon.2019.28.9.s26,
78,78,Prevention and management of incontinence-associated dermatitis,2013,Nurs Stand,Alison Bardsley,https://doi.org/10.7748/ns2013.07.27.44.41.e7618,"Maintaining skin integrity in people with incontinence is challenging. Incontinence is common in older people and those compromised by medical or surgical comorbidities. Urinary and faecal incontinence can result in skin breakdown, which is characterised by erosion of the epidermis, creating a moist, macerated appearance to the skin. Incontinence and associated skin breakdown can have a considerable effect on an individual's physical and psychological wellbeing. This article discusses the aetiology of incontinence-associated dermatitis and considers the best options for the prevention, management and treatment of this condition."
79,79,Infections and skin diseases mimicking diaper dermatitis,2016,Int J Dermatol,Dirk Van Gysel,https://doi.org/10.1111/ijd.13372,"Diaper dermatitis is a common condition that often prompts parents to seek medical attention. Irritant diaper dermatitis is by far the most common cause, but numerous potentially serious diseases can present with changes of the skin in the diaper area. The differential diagnosis can include psoriasis, metabolic disorders, rare immune diseases and infection. Clinical examination can be helpful in distinguishing the underlying cause. General screening laboratory tests, as well as select testing when a specific condition is suspected, can be used to challenge or confirm the putative diagnosis."
80,80,Incidence and risk factors of incontinence-associated dermatitis among patients in the intensive care unit,2018,J Clin Nurs,Xinran Wang,https://doi.org/10.1111/jocn.14594,"Objective: To investigate the incidence of incontinence-associated dermatitis (IAD) among patients in the intensive care unit (ICU) and to identify potential risk factors to establish a reference for clinical nursing work.
Background: Patients in the ICU are susceptible to IAD. IAD is painful, reduces the patient's quality of life and adds to the workload of clinical medical staff. However, risk factors associated with IAD may differ between countries and healthcare settings.
Design: Prospective cohort study METHODS: From November 2016 to November 2017, a prospective cohort study was conducted among109 patients in three Class 3, Grade A hospitals (comprising 9 ICUs in total) in Beijing. The Incontinence-associated Dermatitis and Its Severity (IADS) instrument in Chinese was applied to assess IAD. Univariate and multivariate logistic regression analyses were performed to identify risk factors for IAD.
Results: The study population had 29 community-acquired and 80 nosocomial infections, and 26 (incidence: 23.9%) of these had IAD. On univariate analysis, a significant difference was observed between patients with and without IAD with respect to the following indices: Barthel index, Braden scale score, Nutritional Risk Screening 2002 (NRS2002) score, serum albumin level, occurrence of infection, faecal incontinence, frequency of faecal incontinence, stool property and double (faecal and urinary) incontinence and perineal assessment tool (PAT) score (p < 0.05). Multivariate logistic regression analysis showed that three factors entered the regression equation-that is, the Braden Scale Score, serum albumin level and double incontinence. Of these, the Braden Scale Score and serum albumin level were protective factors for IAD. Thus, the higher the Braden Scale Score, the lower the risk of IAD (OR = 0.678, 95% confidence interval [CI] = 0.494-0.931); a higher level of serum albumin implies a lower risk of IAD, provided it is within the normal range (OR = 0.884, 95%CI = 0.797-0.981). Double incontinence was an independent risk factor for IAD (OR = 10.512, 95% CI = 2.492-44.342).
Conclusion: A higher morbidity of IAD is seen in the ICU. Specific preventive and nursing measures are required to maintain the skin integrity of critically ill patients in daily nursing practice to improve patient quality of life and the quality of nursing care.
Relevance to clinical practice: Incontinence-associated dermatitis is characterised by inflammation and tissue damage due to prolonged/repeated exposure to urine and/or stool. Not every patient with urine and/or stool incontinence develops IAD. Medical staff can use research-based evidence to identify ICU patients at risk of IAD to reduce morbidity and improve health outcomes."
81,81,Diaper dermatitis that does not quit,2005,Dermatol Ther,Helen T Shin,https://doi.org/10.1111/j.1529-8019.2005.05013.x,"Diaper dermatitis is one of the most common skin disorders in infants. The humid, moist environment under the diaper makes the skin more susceptible to injury from exposure to irritants particularly related to urine and feces. A gentle cleansing routine, frequent diaper changes, and a thick barrier cream help control this condition. Irritant diaper dermatitis should be distinguished from other skin conditions that may develop in this sensitive area."
82,82,"Incontinence-associated dermatitis: identification, prevention and care",2015,Br J Nurs,Sharon Holroyd,https://doi.org/10.12968/bjon.2015.24.sup9.s37,"Incontinence-associated dermatitis (IAD) is a common skin disorder experienced by people who suffer from faecal and/or urinary incontinence. It is painful and in some cases accompanied by significant secondary infections. The prevalence is higher in those people receiving long-term care at home. IAD is often misdiagnosed and confused with pressure ulcers. Care providers now crossover health and social care boundaries and education on continence-related issues is often not prioritised. This article looks at normal skin physiology and the aetiology of IAD versus pressure ulcers. It suggests prevention and management strategies in relation to IAD; in particular, the use of barrier creams. A selection of case studies evaluating the efficacy of using Cutimed PROTECT cream in cases of IAD are presented."
83,83,Diagnosis and management of diaper dermatitis,2014,Pediatr Clin North Am,Helen T Shin,https://doi.org/10.1016/j.pcl.2013.11.009,"This article presents an overview of diaper dermatitis for the pediatric community. The pathogenesis, differential diagnosis, and management of this common condition in infancy are reviewed. This information will assist in making the appropriate diagnosis and managing this irritant contact dermatitis of the diaper area. With conservative management, most cases of irritant diaper dermatitis are self-limited. When the condition persists, one must consider other diagnoses."
84,84,Management of incontinence-associated dermatitis patients using a skin protectant in acute care: a case series,2020,J Wound Care,Claire Acton,https://doi.org/10.12968/jowc.2020.29.1.18,"Objective: Incontinence-associated dermatitis (IAD) is a common type of irritant contact dermatitis. It is categorised by persistent erythema and can be associated with denudation and/or colonisation and infection. IAD is challenging to treat and affects 3.4-50% of patients. This case series evaluates a novel, elastomeric, advanced skin protectant (3M Cavilon Advanced Skin Protectant) in a UK acute health-care setting, for the management of IAD in patients suffering from moisture-associated skin damage (MASD) in the sacral/genital area.
Method: The patient's skin was assessed by clinicians using the GLOBIAD classification tool at the point of recruitment and to monitor progress throughout the study period. The product was applied as a single layer in accordance with the instructions for use. Patients, when able, were asked to assess their own pain level using the Wong-Baker FACES pain scale. Photographs were taken as part of the ongoing assessment.
Results: The skin protectant was used on average every 2.28 days. Of the 18 IAD patients recruited, 79% (n=11) were classified as IAD-free, based on the GLOBIAD categorisation tool, by the end of the evaluation period. Skin deterioration during the evaluation period was seen in one patient (6%), and of the patients able to complete pain assessments, 55% (n=6) reported a reduction in pain.
Conclusion: These results suggest that the elastomeric skin protectant, applied every three days, plays a role in the improvement of IAD. The skin protectant adheres to wet and weeping partial-thickness wounds and may aid IAD management. Reducing application to every third day supports a change in practice which may offer benefits to patients and caregivers."
85,85,Incontinence-associated dermatitis in the elderly: treatment options,2013,Br J Nurs,Eleanor Corcoran,https://doi.org/10.12968/bjon.2013.22.8.450,"Incontinence-associated dermatitis (IAD) is a common problem in older people. However, it is frequently misdiagnosed and poorly treated. There is often uncertainty about which product to use to prevent and treat IAD; the different types, brands and how to apply them. This literature review looks specifically at the use of barrier products in the prevention and treatment of IAD. A systematic search found six primary research papers that analysed the effectiveness of various barrier products; they will be compared and contrasted in this review. There is a lack of evidence to recommend any one barrier product over another for use in a standardised skin care protocol such as the regimen suggested by Gray et al (2012). More research needs to be conducted to establish the most effective barrier products on the market. More research is also needed on the efficacy of barrier products in the prevention and treatment solely of IAD rather than combined studies looking at IAD with pressure ulcers."
86,86,Diaper Dermatitis: Facts and Misinformation,2017,Clin Pediatr (Phila),Russell W Steele,https://doi.org/10.1177/0009922817704929,
87,87,Incontinence-related skin damage: essential knowledge,2007,Ostomy Wound Manage,Mikel Gray,,"Incontinence-associated dermatitis, a clinical manifestation of moisture-associated skin damage, is a common consideration in patients with fecal and/or urinary incontinence. Among hospitalized patients, the prevalence rate has been found to be as high as 27%. Exposure to skin surface irritants may be a predictor and the condition, in turn, may be a factor in pressure ulcer risk because skin integrity is compromised. Differential diagnosis, usually based on visual examination, can help determine whether incontinence-associated dermatitis or a pressure ulcer is present. Prevention comprises following a structured skin care regimen that includes gentle cleansing, moisturization, and application of a skin protectant or moisture barrier. Treatment goals include protecting the skin from further exposure to irritants, establishing a healing environment, and eradicating any cutaneous infection. This concise review of relevant literature underscores the scant amount of evidence-based information available and highlights the need for further studies that involve comparing protocol and product efficacy to determine best practice for this oft-encountered condition."
88,88,Shifts in the skin microbiome associated with diaper dermatitis and emollient treatment amongst infants and toddlers in China,2019,Exp Dermatol,Yumei Zheng,https://doi.org/10.1111/exd.14028,"Background: The microbiological basis of diaper dermatitis has not been clearly elucidated; however, a better understanding of microbial colonization may be vital for developing appropriate therapies.
Methods: Using 16S-rRNA gene sequencing technology, we characterized and compared the bacterial communities obtained from the buttock skin sites of children with diaper dermatitis and from healthy controls. Bacterial diversity in the buttock lesion area and subsequent recovery after emollient treatment have been discussed herein.
Results: In buttock skin of children with or without diaper dermatitis, Staphylococcus and Anaerococcus were predominant in the total skin microbiome. Compared with the healthy group, the overall skin bacterial richness and diversity were higher in children with diaper dermatitis, with the abundance of Proteobacteria being significantly higher. In the diaper dermatitis group, the richness of Enterococcus, Erwinia and Pseudomonas was significantly higher, and the levels of Clostridium and Actinomyces were significantly lower than those in healthy children. Richness of Staphylococcus aureus was significantly higher in the diaper dermatitis group, whereas that of Staphylococcus epidermidis and Bifidobacterium longum was lower. Staphylococcus epidermidis and Staphylococcus haemolyticus, the dominant species found in buttock skin, were observed to recover earlier after the disease had improved through emollient treatment.
Conclusion: Staphylococcus epidermidis, as skin probiotic bacterium, and B longum, Clostridium butyricum and Lactobacillus ruminis, which are intestinal probiotic bacteria, are significantly decreased in diaper dermatitis lesions. These changes in the buttock skin microflora indicate an imbalance in the microflora and suggest that the intestinal microflora may be undergoing dynamic changes. The results of this study suggest that probiotic bacterial supplementation may be useful in the treatment and prevention of diaper dermatitis."
89,89,[How I treat...diaper dermatitis],2006,Rev Med Liege,F Henry,,"Diaper dermatitis is the most frequent skin disorder of the newborn. Several clinical types are distinguished. The most frequent type results from increased fragility of the newborn buttock skin when covered by diapers. According to the mechanisms involved and the severity of the dermatitis, one can distinguish the intertrigo of the chubby baby, and the so-called ""W"", ""Y"" and ""red panties"" types of diaper dermatitis. When the effects of occlusion are not controlled by adequate absorption by the diapers maceration of the stratum corneum occurs. As a result, degradation of the skin barrier function takes place. In addition, the value of the coefficient of friction of the skin increases with epidermal weakening to rubbing. In addition, fecal enzymes alter urines and skin. Judicious hygiene measures and a correct choice of care and diapers are mandatory. Cutaneous colonisation by microorganisms, in particular the yeasts Candida spp, is the main complication. Adequate preventive and curative measures can combat diaper dermatitis with confidence. A miconazole paste allows to improve the tribological properties of the interface between diapers and the skin. It also corrects the degradation of the skin barrier function, reduces inflammation and abates the impact of Candida spp. in the pathogenesis of the skin disorder."
90,90,Effects of moisturizing skincare on skin barrier function and the prevention of skin problems in 3-month-old infants: A randomized controlled trial,2018,J Dermatol,Kaori Yonezawa,https://doi.org/10.1111/1346-8138.14080,"An effective newborn skincare protocol has not been established. We aimed to evaluate the effects of moisturizing skincare, including using lotion and reducing routine bathing. Our hypothesis was that moisturizing skincare would improve skin barrier function. This randomized controlled trial included 227 healthy Asian newborns between 1 week and 3 months old. We compared moisturizing skincare (bathing every 2 days and using lotion daily; intervention, n = 113) to daily bathing without lotion (control, n = 114). We assessed the skin barrier function (transepidermal water loss [TEWL], stratum corneum hydration [SCH], skin pH and sebum secretion) as a primary outcome at 3 months old. We also assessed the incidence of skin problems according to parents' diary reports. Compared with the control, the intervention group had a lower face TEWL (mean ± standard deviation, 14.69 ± 7.38 vs 17.08 ± 8.26 g/m2 per h, P = 0.033), higher face SCH (60.38 ± 13.66 vs 53.52 ± 14.55, P = 0.001) and higher body SCH (58.89 ± 12.96 vs 53.02 ± 10.08, P < 0.001). Compared with the control, newborns in the intervention group had significantly lower rates of diaper dermatitis between birth and 1 month old (6.3% vs 15.9%, P = 0.022), and tended to have lower rates of body skin problems between 1 and 3 months (42.1% vs 55.2%, P = 0.064). Moisturizing skincare was effective for improving skin barrier function and preventing newborns' diaper dermatitis. The results of our study may help parents make informed decisions about newborn skincare."
91,91,An Integrative Review of Clinical Characteristics of Infants With Diaper Dermatitis,2020,Adv Neonatal Care,Media S Esser,https://doi.org/10.1097/anc.0000000000000682,"Background: Diaper dermatitis (DD) severity is demonstrated by the degree of erythema and skin breakdown. Many studies describe diaper dermatitis, but lack a full description of clinical characteristic (CC) involvement.
Purpose: The purpose of this literature review is to explore the descriptions of CC of infants with DD provided within infant DD literature.
Search strategy: PubMed and Web of Science were searched using the keywords: diaper dermatitis, diaper rash, infant, and neonate. The inclusion criteria for this project are as follows: published after 1990, English language, include skin assessment or evaluation, and infant/children < two years of age. Review and opinion articles were excluded.
Results: A total of 454 studies were retrieved, 27 remained after review for duplicates and relevance. The CC described most often were: type of feeds, stool frequency, history of DD, use of antibiotics, and delivery mode.
Synthesis of evidence: The studies reported inconsistent CC and a lack of correlation between these characteristics and the condition of diapered skin. Many studies focused solely on the efficacy of interventions lacking description of possible relationships between DD and CC.
Implications for practice: Skin condition outcome variables can be improved with the acknowledgment of the impact CC have on the development of DD. The combination of assessment measures and CC may ultimately demonstrate more merit or rigor for describing DD severity and skin condition.
Implications for research: Future research should expand this exploration to include environmental or contributing factors to continue to identify additional risk factors for DD."
92,92,Damage control: Differentiating incontinence-associated dermatitis from pressure injury,2019,Nurse Pract,Kathleen Francis,https://doi.org/10.1097/01.npr.0000586032.38669.63,
93,93,Diaper Dermatitis: What Do We Do Next?,2016,Adv Neonatal Care,Media Esser,https://doi.org/10.1097/anc.0000000000000316,"Diaper dermatitis is a major issue among hospitalized infants, leading to increased medical costs, pain, risk for infection, and distress among patients and caregivers. An evidence-based algorithm for prevention and treatment of diaper dermatitis was developed and introduced in a level IV neonatal intensive care unit (NICU). Two cases are discussed as examples of severe diaper dermatitis. The first case demonstrates the final case of severe diaper dermatitis since the introduction of the algorithm. The second case demonstrates a less severe, but equally frustrating, case of diaper dermatitis that occurred after the practice of using the algorithm was established. The need for consistency in the prevention and treatment of diaper dermatitis is paramount to providing quality care. There are a number of points within the bedside care regimen where breakdown in consistency occurs. The adherence to consistent and evidence-based treatment regimens has the potential to decrease the incidence and severity of diaper dermatitis in high-risk hospitalized infants. Initiation of an evidence-based algorithm to assist in the prevention and treatment of diaper dermatitis can be supported by data of the number of cases of diaper dermatitis collected before and after implementing the algorithm. The information can further assist in continued education and pursuance of investigation of other major skin injuries in NICU patients. The importance surrounding infant skin care and building awareness surrounding all of the facets of skin care in this vulnerable population demonstrate the benefits to quality outcomes and care."
94,94,"Incontinence-associated dermatitis in critically ill adults: time to development, severity, and risk factors",2011,J Wound Ostomy Continence Nurs,Donna Zimmaro Bliss,https://doi.org/10.1097/won.0b013e318220b703,"Purpose: The purpose of this study was to determine the time to development, severity, and risk factors of incontinence-associated dermatitis (IAD) among critically ill patients with fecal incontinence.
Subjects and setting: Forty-five patients with a mean age of 49.4 ± 18.5 years (mean ± SD) in the surgical/trauma critical care unit (ICU) of 1 of 3 urban hospitals who were free of any perineal skin damage at study start participated in the study. The majority (76%) were male.
Methods: Surveillance of skin for IAD and chart review of data initially and daily.
Results: Incontinence-associated dermatitis developed in 36% of patients. The median time to onset of IAD was 4 days (range, 1-6). Eighty-one percent of patients still had IAD at discharge from the ICU and at the end of their surveillance (median time = 7 days, range, 1-19 days). The severity of erythema associated with IAD was mild, moderate, or severe for 13%, 11%, or 4% (means) of the time patients were observed. Denudement occurred 9% of the observed time. Frequent incontinence of loose or liquid stools and diminished cognitive awareness were significant independent risk factors for development of IAD sooner.
Conclusion: Incontinence-associated dermatitis develops in critically ill patients with fecal incontinence relatively quickly and does not resolve in most before their discharge from the ICU. Early monitoring and prevention of IAD, especially in patients with diminished cognition or with frequent leakage of loose or liquid feces, are recommended to promote skin health."
95,95,The prevention and treatment of incontinence-associated dermatitis,2018,Br J Nurs,Karen Nelson,https://doi.org/10.12968/bjon.2018.27.19.1101,
96,96,Incontinence-Associated Dermatitis and Intertriginous Dermatitis as Nurse-Sensitive Quality Indicators: A Delphi Study,2018,J Wound Ostomy Continence Nurs,Mary Arnold-Long,https://doi.org/10.1097/won.0000000000000427,"Purpose: This purpose of this study was to determine whether consensus exists concerning the need to collect epidemiologic data about 2 forms of moisture-associated skin damage, incontinence-associated dermatitis (IAD) and intertriginous dermatitis (ITD), and whether these data should be part of data routinely collected as part of the National Database of Nursing Quality Indicators (NDNQI).
Design: Modified Delphi technique.
Sample and setting: Questionnaires were sent via e-mail to 50 identified experts, with an initial response of 17. Thirteen clinical experts responded to the second round and 11 responded to a third round.
Methods: Items on the questionnaires were investigator-developed. Consensus was defined as 80% or more agreement. Three rounds of questionnaires were employed to attempt consensus. Descriptive statistics were performed using mean and standard deviation for continuous data and frequencies and percentages for categorical data. Qualitative data were analyzed question by question by the primary researcher using content analysis.
Results: Consensus was achieved indicating that individual facilities should regularly collect data about IAD prevalence or incidence. Consensus was not reached about the need to regularly collect data about ITD prevalence or incidence. Panelists also failed to reach consensus that IAD or ITD prevalence or incidence should be incorporated into the NDNQI indicators.
Conclusion: Panelists did not reach consensus that IAD or ITD epidemiologic data should be incorporated on the NDNQI. Additional research is needed, particularly in the area of ITD, before benchmarks can be established regarding these data as nurse-sensitive indicators of quality care."
97,97,Incontinence-associated dermatitis: a consensus on its severity assessment,2018,Br J Dermatol,R F Ofenloch,https://doi.org/10.1111/bjd.16651,
98,98,Incontinence-associated dermatitis: what nurses need to know,2018,Br J Nurs,Ann Yates,https://doi.org/10.12968/bjon.2018.27.19.1094,
99,99,"Incontinence, Incontinence-Associated Dermatitis, and Pressure Injuries in a Health District in Australia: A Mixed-Methods Study",2018,J Wound Ostomy Continence Nurs,Michelle Barakat-Johnson,https://doi.org/10.1097/won.0000000000000446,"Purpose: This purpose of this study was to measure the prevalence of incontinence, incontinence-associated dermatitis (IAD), and pressure injuries (PIs) in a local health district in Australia. We also aimed to determine associated evidence-into-practice gaps.
Design: Multisite mixed-methods study.
Subjects and settings: The sample comprised 250 adult patients in 12 units across 4 hospitals; their mean age was 73 years. Nurses caring for the patient at the time of the audit were questioned on nursing practice for patients with incontinence.
Methods: A 2-page audit tool was developed and used to capture demographic data, continence and mobility status, IAD and PI, incontinence products, nursing practice observations, and nurses' comments. Each patient was assessed by 2 senior nurses. Quantitative analysis included descriptive statistics and bivariate analysis using a χ test to examine the association between mobility and incontinence and a Fisher exact test to examine the association between IAD and PI. Content analysis was used to analyze qualitative data and develop themes.
Results: Almost half of patients had incontinence (n = 111/250), 20.7% of patients with incontinence (n = 23/111) had IAD, and 6.3% (n = 7/111) had hospital-acquired PI. There was a significant association between incontinence and mobility, and between IAD and PIs. In addition, 22.3% of patients who were continent (31/139) were wearing an incontinence product. Analysis of qualitative data found that both incontinence management and language used to refer to incontinence pads were incompatible with current best practices.
Conclusion: The prevalence of incontinence among patients observed in this study was similar to rates reported internationally, but the prevalence of IAD was slightly lower. The association between IAD and PIs, as well as incontinence and mobility, was statistically and clinically significant. Nurses commonly used interventions with little or no evidence. Hospitals should put measures in place to improve nurses' knowledge of incontinence, IAD, and PI practices."
100,100,Associations between individual characteristics and incontinence-associated dermatitis: a secondary data analysis of a multi-centre prevalence study,2014,Int J Nurs Stud,Jan Kottner,https://doi.org/10.1016/j.ijnurstu.2014.02.012,"Background: Incontinent patients are at risk for incontinence-associated dermatitis. Prolonged exposures of the skin to urine and/or stool are causal factors but the exact aetiology and pathophysiology are not fully understood.
Objectives: The aim of the current investigation was to identify person and health-related variables most strongly associated with incontinence-associated dermatitis development.
Design: Secondary data analysis of a multicentre-prevalence study in 2012.
Settings: Hospitals, nursing homes, home care in Austria and the Netherlands.
Participants: Nursing home residents, hospital patients, home care clients who completed an incontinence assessment and who were incontinent (n = 3713). Mean age 81.2 (SD 11.2) years.
Methods: Demographic, functional and physiological parameters were compared between subjects with incontinence-associated dermatitis and without. A logistic regression model predicting incontinence-associated dermatitis was build.
Results: Subjects with incontinence-associated dermatitis were statistically significantly more often male, had more often diabetes mellitus, had a higher BMI, were less often affected by urinary but more often by faecal incontinence and showed higher degrees of functional and psychical impairments. Being faecal incontinent (OR 1.70; 95% CI 1.14-2.55), having diabetes mellitus (OR 1.46; 95% CI 1.03-2.06) and having ""friction and shear"" problems (OR 0.65; 95% CI 0.51-0.81) according to the Braden scale item were the strongest covariates for the presence of incontinence-associated dermatitis.
Conclusions: It is recommended to target special preventive skin care interventions especially to persons who are faecal incontinent and who have moist perineal skin, who have higher BMIs, who are diabetics, and who need increased assistance in moving."
101,101,Knowledge Gaps in the Etiology and Pathophysiology of Incontinence-Associated Dermatitis: A Scoping Review,2020,J Wound Ostomy Continence Nurs,Sofoklis Koudounas,https://doi.org/10.1097/won.0000000000000656,"Purpose: Incontinence-associated dermatitis (IAD) due to the prolonged exposure of the skin to urinary, fecal, or double incontinence represents a major clinical practice challenge. The aim of this review was to identify and critically appraise the results of published studies on the etiology and pathophysiology of IAD and highlight the current gaps in empirical evidence.
Methods: Scoping literature review.
Search strategy: The electronic databases PubMed, Cumulative Index to Nursing and Allied Health Literature, MEDLINE, and Embase were searched for relevant articles published from 1996 to April 2018. Thirteen studies and review articles related to the etiology and pathophysiology of IAD were identified in our initial review, and 3 studies published subsequent to our initial review were evaluated and included in our final review.
Findings: These studies suggest that several etiologic factors contribute to the development of IAD including exposure to urine, stool, or a combination of these substances (dual incontinence), the duration and frequency of exposure, frequent cleaning, and inflammatory responses. Results from the current scoping review showed that despite the increasing interest in IAD, evidence related to the underlying mechanisms causing IAD remains sparse. This paucity represents a clear gap in knowledge and indicates a need for additional research.
Implications: Future studies should aim at elucidating: (1) the role of urine and its inherent pH on skin integrity, (2) the role of stool, specific digestive enzymes, and fecal bacteria on skin integrity, (3) the permeability and susceptibility of the skin to damage following frequent cleansing activities and occlusion, and (4) the specific inflammatory response triggered following exposure to urine and fecal matter."
102,102,Diaper dermatitis,1995,Pediatr Rev,S Singalavanija,https://doi.org/10.1542/pir.16-4-142,
103,103,Diaper dermatitis,2000,Clin Dermatol,R Wolf,https://doi.org/10.1016/s0738-081x(00)00157-7,
104,104,Diaper dermatitis: a review and brief survey of eruptions of the diaper area,2005,Am J Clin Dermatol,Noah Scheinfeld,https://doi.org/10.2165/00128071-200506050-00001,"Eruptions in the diaper area are the most common dermatologic problem in infancy. Such eruptions can be subdivided into primary diaper dermatitis, an acute inflammation of the skin in the diaper area with an ill-defined and multifactorial etiology, and secondary diaper dermatitis, a term which encompasses eruptions in the diaper area with defined etiologies. The most important factors in the development of primary diaper dermatitis are: (i) water/moisture, (ii) friction, (iii) urine, (iv) feces, and (v) microorganisms (sometimes). Possible treatments include minimizing diaper use and using disposable diapers, barrier creams, mild topical cortisones, and antifungal agents. A variety of other inflammatory and infectious processes can occur in the diaper area and an awareness of these secondary types of diaper dermatitis aids in the accurate diagnosis and treatment of patients."
