,title,journal,authors,links,abstract
62,Impact of a Novel Vaginal Bowel Control System on Bowel Function,Dis Colon Rectum,Madhulika G Varma,https://doi.org/10.1097/dcr.0000000000000517,"Background: Bowel dysfunction, including frequency, fecal urgency, stool consistency, and evacuation symptoms, contributes to fecal incontinence.
Objective: The purpose of this study was to examine the impact of a vaginal bowel control system on parameters of bowel function, including frequency, urgency, stool consistency, and evacuation.
Design: This was a secondary analysis of a multicenter, prospective clinical trial.
Settings: This study was conducted at 6 sites in the United States, including university hospitals and private practices in urogynecology and colorectal surgery.
Patients: A total of 56 evaluable female subjects aged 19 to 75 years with 4 or more fecal incontinence episodes on a 2-week bowel diary were included.
Interventions: The study intervention was composed of the vaginal bowel control system, consisting of a vaginal insert and pressure-regulated pump.
Main outcome measures: Subjects completed a 2-week baseline diary of bowel function before and after treatment completed at 1 month. Fecal urgency, consistency of stool (Bristol score), and completeness of evacuation were recorded for all bowel movements.
Results: Use of the insert was associated with an improvement in bowel function across all 4 categories. Two thirds (8/12) of subjects with a high frequency of daily stools (more than 2 per day) shifted to a normal or low frequency of stools. Analysis of Bristol stool scale scores demonstrated a significant reduction in the proportion of all bowel movements reported as liquid (Bristol 6 or 7), from 36% to 21% (p = 0.0001). On average, 54% of stools were associated with urgency at baseline compared with 26% at 1 month (p < 0.0001). Incomplete evacuations with all bowel movements were reduced from 39% to 26% of subjects at 1 month (p = 0.0034).
Limitations: The study follow-up period was 1 month (with an optional additional 2 months).
Conclusions: The vaginal bowel control system was associated with an improvement in bowel symptoms and function, including reduced bowel movement frequency, less fecal urgency, increased solid consistency, and improved evacuation in patients with significant fecal incontinence."
63,[Using a multicomponent functional food in IBS patients with constipation a comparative controlled study],Vopr Pitan,V I Pilipenko,,"Irritable bowel syndrome (IBS) is highly prevalent functional gastrointestinal disorder associated with decrease in quality of life and a high social cost. Diet is one of several therapeutic options in IBS treatment; therefore the development and clinical evaluation of innovative functional food for IBS patients are actual. Instant drink containing 4 g inulin, 4 mg menthol and 2 mg of pyridoxine (in daily dose) has been evaluated. 49 patients 18-68 (41.5±16.5) years old fulfilling the Rome III criteria for IBS-C were randomly assigned into two groups: one received standard diet plus two drinks per day for 2 weeks and control group received standard diet. Response to therapy was recorded daily using Likert scale of abdominal pain, bloating and feeling of incomplete bowel emptying, frequency of bowel movement, Bristol stool scale, and quality of life was assessed by IBSQoL questionnaire before and after the treatment. The consumption of the drink with inulin and menthol contributed to a significant positive effect on the stool parameters (from 0.91±0.73 to 1.12±0.45 bowel movements per day in stool frequency, p=0.05, from 2.68±1.63 to 3.43±1.27 index Bristol scale, p=0.05), reduced the severity of abdominal pain (from 1.78±0.58 to 1.47?0.61 Likert scale points, p=0.05), bloating (from 2.22±0.83 to 1.53±0.71 points ofLikertscale,p= 0.01) and a sense of incomplete bowelemptying (from 2.22 ± 0.88 to 1.61± 0.81 points of Likert scale, p=0.001), as well as increased the quality of life (from 75.3± 12.0 to 83.3±6.7%, p=0.05), but a significant part of patients (10 of 25) complained the appearance of heartburn after the start of the treatment. In conclusion, the consumption of the functional drink containing inulin, menthol and pyridoxine is associated with improve in stool parameters, abdominal pain, Bristol scale index and increase in quality of life in patients with IBS-C, but produce noticeable heartburn. Changes in functional drink composition are needed to reduce adverse effects."
64,Electrical stimulation therapy for slow transit constipation in children: a systematic review,Int J Colorectal Dis,Ming-Liang Lu,https://doi.org/10.1007/s00384-015-2180-3,"Purpose: Slow transit constipation is a common disorder in children, which often does not respond well to ordinary treatments. We have conducted a systematic review of reported studies in order to better define the current state of knowledge about electrical stimulation treatment of slow transit constipation in children.
Methods: We searched PubMed, Embase, Cochrane Library, BioMed Central, and ISI Web of Knowledge with relevant terms; six studies, all from one center, met the criteria for inclusion. Two trials were randomized clinical trials, and four were prospective studies. The number of subjects included in the studies was 8 to 39, with ages 3 to 18 years.
Results: Treatment sessions varied from 20 to 30 min 3 times per week to 1 h daily, and duration of therapy varied from 3 weeks to 6 months. Statistically significant improvements after electrical stimulation therapy were recorded in one to four outcome measures in each of the studies: frequency of defecation, soiling, Bristol Stool Scale, radionuclear transit studies, and quality of life; however, the improvements were of modest degree and of uncertain clinical significance. Quality assessment of the studies found various levels of bias, with attrition bias and reporting bias in all six.
Conclusions: This systemic review found moderate support for the effectiveness of electrical stimulation therapy in slow transit constipation in children. However, better-designed studies, with larger and more diverse patient populations followed for longer time periods, will be needed in order to reliably determine the efficacy of electrical stimulation therapy in the treatment of this disorder."
65,Recommendations for pharmacological clinical trials in children with irritable bowel syndrome: the Rome foundation pediatric subcommittee on clinical trials,Neurogastroenterol Motil,M Saps,https://doi.org/10.1111/nmo.12896,"Background: There is little published evidence of efficacy for the most commonly used treatments. Thus, there is an urgent need to conduct clinical trials on existing and novel therapies.
Purpose: In order to address these issues the Rome Foundation and members of the Pediatric Committee of the European Medicines Agency formed a subcommittee on clinical trials to develop guidelines for the design of clinical trials in children with irritable bowel syndrome (IBS). The following recommendations are based on evidence from published data when available and expert opinion.
Key recommendations: The subcommittee recommends randomized, double-blind, placebo-controlled, parallel-group, clinical trials to assess the efficacy of new drugs. The combined endpoints for abdominal pain are a decrease in intensity of at least 30% compared with baseline and to meet or exceed the Reliable Change Index (RCI) for the sample. Stool consistency is measured with the Bristol Stool Scale Form (BSFS). The subcommittee recommends as entry criteria for abdominal pain a weekly average of worst abdominal pain in past 24 h of at least 3.0 on a 0-10 point scale or at least 30 mm in 100 mm Visual Analog Scale. For stool endpoints the committee recommends an average stool consistency lower than 3 in the BSFS during the run-in period for clinical trials on IBS-C and an average stool consistency greater than 5 in the BSFS during the run-in period for clinical trials on IBS-D. Changes in stool consistency are the primary endpoints for both IBS with diarrhea (IBS-D) and IBS with constipation (IBS-C)."
66,Electro-acupuncture vs. sham electro-acupuncture for chronic severe functional constipation: A systematic review and meta-analysis,Complement Ther Med,Na Zhang,https://doi.org/10.1016/j.ctim.2020.102521,"Objectives: To assess the efficacy of electro-acupuncture (EA) relative to sham electro-acupuncture (sham EA) in treating chronic severe functional constipation (CSFC).
Methods: A comprehensive search for relevant studies published between January 1, 1951 and May 14, 2020 was conducted in PubMed, the Cochrane Library, Chinese Biomedical Literature Database, Web of Science, and EMbase. Two investigators independently selected studies, extracted data, and assessed the quality of the included studies. The software Endnote X9 was used for screening articles, and the Review Manager 5.3 for analyzing data.
Results: The meta-analyses involved 6 studies and 1457 individuals. The pooled results favored the EA group for the increase of complete spontaneous bowel movements (CSBMs) per week in the fourth week (MD = 0.80, P = 0.001) during treatment, and further improved in the eight weeks (MD = 1.25, P < 0.001). During the follow-up period, significant changes in CSBMs per week were seen in the experimental group (MD = 1.38, P = 0.008); the effect decreased in the twelfth week (MD = 0.87, P < 0.001). There was no significant difference in the Bristol stool scale score between the two groups in the fourth week (MD = 0.40, P = 0.08), but significant differences were observed in the eighth week (MD = 0.40, P = 0.03). A significant reduction in patient assessment of constipation quality of life (PAC-QOL) score were observed in the EA group during treatment (SMD = -0.83, P < 0.001). No serious adverse events were reported.
Conclusions: EA had favorable effects on CSFC, and the longer the treatment duration was, the better was the effect, but the effect showed a certain period of validity. However, the results may be influenced by the clinical heterogeneity of acupuncture points, depth of needling, intensity, and frequency of EA."
67,Do stool form and frequency correlate with whole-gut and colonic transit? Results from a multicenter study in constipated individuals and healthy controls,Am J Gastroenterol,Richard J Saad,https://doi.org/10.1038/ajg.2009.612,"Objectives: Despite a lack of supportive data, stool form and stool frequency are often used as clinical surrogates for gut transit in constipated patients. The aim of this study was to assess the correlation between stool characteristics (form and frequency) and gut transit in constipated and healthy adults.
Methods: A post hoc analysis was performed on 110 subjects (46 chronic constipation) from nine US sites recording stool form (Bristol Stool Scale) and frequency during simultaneous assessment of whole-gut and colonic transit by wireless motility capsule (WMC) and radio-opaque marker (ROM) tests. Stool form and frequency were correlated with transit times using Spearman's rank correlation. Accuracy of stool form in predicting delayed transit was assessed by receiver operating characteristic analysis.
Results: In the constipated adults (42 females, 4 males), moderate correlations were found between stool form and whole-gut transit measured by WMC (r=-0.61, P<0.0001) or ROM (-0.45, P=0.0016), as well as colonic transit measured by WMC (-0.62, P<0.0001). A Bristol stool form value <3 predicted delayed whole-gut transit with a sensitivity of 85% and specificity of 82% and delayed colonic transit with a sensitivity of 82% and specificity of 83%. No correlation between stool form and measured transit was found in healthy adults, regardless of gender. No correlation was found between stool frequency and measured transit in constipated or healthy adults. The correlation between stool frequency and measured transit remained poor in constipated adults with <3 bowel movements per week.
Conclusions: Stool form predicts delayed vs. normal transit in adults. However, only a moderate correlation exists between stool form and measured whole-gut or colonic transit time in constipated adults. In contrast, stool frequency is a poor surrogate for transit, even in those with reduced stool frequency."
68,[Assessment of clinical efficacy and tolerability of meat-containing canned food for enteral nutrition],Vopr Pitan,Z M Zaynudinov,https://doi.org/10.24411/0042-8833-2017-00046,"to evaluate the efficacy and tolerability of meat-containing canned food for enteral nutrition in clinical settings in patients with gastrectomy. The product was made from animal protein (beef) with the addition of vegetable oils, soy protein, maltodextrin, stabilizer, vitamins and minerals. 40 patients with gastrectomy were included to the study and randomly formed 2 groups of 20 persons: the main group (8 men and 12 women, mean age 64.4±12.4 years) on the background of standard mashed diet for 14 days received 2 portions of the tested product (240 ml), the control group (5 men and 15 women, mean age 64.8±12.9 years) was treated with standard diet. Daily registration of the symptoms was carried out filling the 5-point scale of the Likert (the presence and severity of abdominal pain, flatulence, heartburn, nausea, a feeling of heaviness after eating, incomplete evacuation of the intestine). The Bristol stool scale was used to assess the dynamics of the stool. Laboratory parameters (hemoglobin, blood serum level of total protein, albumin and iron) and body composition parameters were evaluated before and after treatment. Consumption of meat-containing canned food for enteral nutrition was accompanied by significant decrease in the severity of nausea (from 1.20±0.29 to 1.02±0.05 points of the Likert scale, p=0.017), a decrease in abdomen heaviness (from 1.8±0.8 to 1.4±0.6 points, p<0.05), contributed to an improvement in stool consistency, an increase in all body composition parameters, a positive dynamic of protein metabolism (increase of hemoglobin level from 119.2±9.6 to 122.6±6.8 g/l, p>0.05, blood serum protein and albumin). A tendency to increase the mental component of the quality of life (+4.2%) was found. Thus, meat-containing canned foods for enteral nutrition can be used in the diet of patients in the postoperative period, they are well tolerated in conditions with loss of appetite, are effective in patients with protein-energy malnutrition."
69,Recommendations for pharmacological clinical trials in children with functional constipation: The Rome foundation pediatric subcommittee on clinical trials,Neurogastroenterol Motil,I J N Koppen,https://doi.org/10.1111/nmo.13294,"Background: Evidence for the efficacy of commonly used drugs in the treatment of childhood functional constipation (FC) is scarce, studies are often of low quality and study designs are heterogeneous. Thus, recommendations for the design of clinical trials in childhood FC are needed.
Purpose: Members of the Rome Foundation and a member of the Pediatric Committee of the European Medicines Agency formed a committee to create recommendations for the design of clinical trials in children with FC.
Key recommendations: This committee recommends conducting randomized, double-blind, placebo-controlled, parallel-group clinical trials to assess the efficacy of new drugs for the treatment of childhood FC. Pediatric study participants should be included based on fulfilling the Rome IV criteria for FC. A treatment free run-in period for baseline assessment is recommended. The trial duration should be at least 8 weeks. Treatment success is defined as no longer meeting the Rome IV criteria for FC. Stool consistency should be reported based on the Bristol Stool Scale. Endpoints of drug efficacy need to be tailored to the developmental age of the patient population."
70,Endoscopic and Histological Findings Are Predicted by Fecal Calprotectin in Acute Intestinal Graft-Versus-Host-Disease,Dig Dis Sci,Birgit Adam,https://doi.org/10.1007/s10620-016-4112-7,"Background: Gastrointestinal graft-versus-host-disease (GI-GVHD) is a major cause of nonrelapse mortality after hematopoietic stem cell transplantation (HSCT) necessitating endoscopic examinations and biopsies for diagnosis. Fecal calprotectin (CPT) has been widely used in gastrointestinal inflammation, but comprehensive data in GI-GVHD are lacking.
Aims: We aimed to identify an association of CPT with endoscopic findings, mucosal damage and symptoms for diagnosing and monitoring acute GI-GVHD.
Methods: Symptoms were prospectively evaluated in 110 consecutive HSCT recipients by standardized questionnaires and Bristol Stool Scale (BSS). CPT was assayed by ELISA. Symptom assessment and CPT were performed weekly and with onset of first symptoms. GVHD was diagnosed according to the Glucksberg criteria and by endoscopic biopsies. Patients with GI-GVHD received standard high-dose corticosteroid therapy and follow-up CPT, and symptom evaluation was performed after 28 days. Patients not responding to steroid treatment were re-evaluated by colonoscopy.
Results: GI-GVHD was diagnosed in 40 patients. Twelve patients with GI symptoms and CMV colitis and 24 patients with isolated skin GVHD were included as control subjects. CPT was significantly higher in GI-GVHD compared to skin GVHD and CMV colitis. Endoscopic findings, histological grading, abdominal cramps, diarrhea, urgency and BSS correlated with CPT. At follow-up, CPT correlated with abdominal cramps, diarrhea, urgency and BSS. In steroid refractory patients, CPT level was still significantly associated with severity of mucosal damage.
Conclusion: CPT predicts endoscopic and histological findings in GI-GVHD and correlates with lower GI symptoms. It enables to discriminate GVHD from CMV colitis and to monitor therapeutic success."
71,Lubiprostone Accelerates Intestinal Transit and Alleviates Small Intestinal Bacterial Overgrowth in Patients With Chronic Constipation,Am J Med Sci,Irene Sarosiek,https://doi.org/10.1016/j.amjms.2016.05.012,"Background: Lubiprostone is an effective treatment for chronic constipation (CC). The mechanism of action of lubiprostone is through increasing fluid secretion and lubrication of the intestinal lumen. The effects of lubiprostone on gastrointestinal transit and small intestinal bacterial overgrowth (SIBO) have not been adequately explored. The current study was designed to investigate whether lubiprostone (1) alters gastrointestinal transit and (2) affects SIBO in patients with constipation.
Methods: A total of 29 female patients (mean age = 39 years; range: 19-64) with CC received 2 weeks of lubiprostone (24mcg b.i.d., P.O.). Stool consistency based on Bristol stool scale and the frequency of bowel movements (BMs) were recorded. Gastric emptying time, small bowel transit time, colon transit time (CTT), combined small and large bowel transit time (SLBTT) and whole gut transit time were measured using wireless motility capsule. The SIBO status was assessed by the lactulose breath test. Data were analyzed using Wilcoxon rank, Mann-Whitney U, Spearman׳s rank correlation and Chi-square tests.
Results: Lubiprostone significantly softened the stool and increased the frequency of BM from median of 2 to 4times per week. The CTT and SLBTT were significantly shorter in responders to lubiprostone (i.e., those with ??2 times increase in the number of their weekly BM) compared with nonresponders. The higher frequency of BM after treatment was significantly correlated with the acceleration of CTT, SLBTT and whole gut transit time. In all, 17 out of 25 (68%) patients, who were tested for SIBO at baseline, were positive. In addition, 7 out of 17 (41%) SIBO-positive patients became SIBO-negative after lubiprostone treatment (P < 0.05).
Conclusions: In CC, lubiprostone improves the frequency of BMs, softens the stool, accelerates intestinal transit and decreases accompanying SIBO. The improvement of SIBO could be explained by the cleansing effect of increased intestinal fluid and mucus combined with enhanced intestinal motility with lubiprostone."
72,Epidemiology of slow and fast colonic transit using a scale of stool form in a community,Aliment Pharmacol Ther,R S Choung,https://doi.org/10.1111/j.1365-2036.2007.03456.x,"Background: Measurement of gastrointestinal transit is commonly performed in the clinic, but data on transit in the community are lacking.
Aim: To estimate the prevalence of slow and fast colonic transit using stool form, and potential risk factors.
Methods: A validated self-reported gastrointestinal symptom questionnaire was mailed to 4196 randomly selected members of the community (response rate 54%). One question asked the subject to self-report their stool form using the Bristol Stool Scale.
Results: Overall, 18%, 9% and 73% met stool form criteria for slow, fast or normal colonic transit, respectively. Increased odds for slow transit were observed with a higher Somatic Symptom Checklist score (OR = 1.6; 1.3-2.0), while a decreased odds for slow transit was observed in males relative to females (OR = 0.6; 0.5-0.8). An increased odds for fast transit was observed with higher Somatic Symptom Checklist score (OR = 2.3; 1.7-2.9) and a history of cholecystectomy (OR = 1.8; 1.2-2.8). Increasing body mass index (per 5 units) was associated with decreased odds for slow (OR = 0.85; 0.78-0.93), and an increased odds for fast (OR = 1.1; 1.04-1.24) colonic transit.
Conclusion: Based on stool form assessment, nearly one in five community members may have slow colonic transit and one in 12 have accelerated colonic transit."
73,Effectiveness of standing frame on constipation in children with cerebral palsy: a single-subject study,Occup Ther Int,Elena Rivi,https://doi.org/10.1002/oti.1370,"Children with cerebral palsy (CP) and quadriplegia or severe diplegia suffer from highly reduced mobility and consequent constipation. Clinicians recommend standing frames to exercise the support reaction in this population, sharing the opinion that the upright position may facilitate intestinal transit, although no evidence supports this assumption. We conducted this study to determine the effects of the standing frame on spontaneous evacuation in children with CP. Moreover, we studied its effects on the frequency of induction of evacuation, the characteristics of the stool and the pain suffered by the child due to constipation and/or evacuation. We implemented a single-subject research design in one chronically constipated child with CP and quadriplegia, Gross Motor Function Classification System Level V. To monitor the effects of the standing frame, we measured the outcome of interest throughout the study using a daily diary and the Bristol Stool Scale. This study was approved by the local Ethics Committee. This study has several limitation; primarily, the use of a single-subject research design only makes possible the visual analysis of data obtained from a unique patient. So, by themselves, data obtained do not allow us any generalization for the target population. Future research should verify our results collecting more data and also investigating the effect of the standing-frame on respiratory functions. Although the standing frame did not affect the frequency of evacuations or the characteristics of the stool, its employment reduced the inductions of evacuation and the related pain suffered by the child. However, this study has several limitations, such as the lack of generalization due to the fact that we studied a unique patient and the overall brevity of the study due to external circumstances. Therefore, we suggest future research to verify our results, also investigating the effect of the standing frame on respiratory functions. Relevance to clinical practice. The standing frame may positively influence the management of constipation of these children, possibly improving their quality of life."
74,Serum motilin levels and motilin gene polymorphisms in children with functional constipation,Minerva Pediatr,Emel Ulusoy,,"Background: Functional constipation is an important clinical problem among chidden all over the world. Its main cause is not completely understood. Motilin is a gastrointestinal hormone that increases intestinal motility. In this study, we aimed to investigate the serum motilin levels and its relationship with stool consistency and motilin gene polymorphisms in constipated children.
Methods: In this study we investigated 91 constipated patients (mean age 6.84 ± 3.55 years) and 100 healthy controls (mean age 7.78 ± 4.25 years). Serum motilin levels were assessed by sandwich enzyme-linked immunosorbent assay. rs2281820 (c.44 C>T) and rs2281818 (c.66 C>T) mutations were evaluated for motilin gene polymorphisms.
Results: Serum motilin levels were significantly lower in constipated children than healthy controls (6.20 ± 7.86 pg/mL vs. 11.54 ± 17.89 pg/mL, respectively, p=0.008). Serum motilin levels were significantly correlated with Bristol stool scale rate (r = 0.193, p= 0.011) in whole study group, but in the constipation group there was no significant correlation (r= - 0.072, p= 0.528). There were no differences in terms of presence or distribution of the polymorphisms of rs2281820 (c.44 C>T) and rs2281818 (c.66 C>T) in both groups. There was not a significant difference between different polymorphism groups regarding serum motilin concentrations in whole study group and also in both of the study groups.
Conclusion: This study indicated for the first time that serum motilin levels decreased in constipated children. Further studies are needed to clarify whether motilin or motilin gene polymorphisms has a role in pathogenesis of functional constipation."
75,IBS patients show frequent fluctuations between loose/watery and hard/lumpy stools: implications for treatment,Am J Gastroenterol,Olafur S Palsson,https://doi.org/10.1038/ajg.2011.358,"Objectives: The objectives of this study were to determine how variable stool consistency is in patients with irritable bowel syndrome (IBS) and to assess the relationship between stool consistency and gastrointestinal symptoms.
Methods: Individuals with a physician diagnosis of IBS were recruited by advertisement. Enrollment questionnaires included the Rome III Diagnostic Questionnaire and IBS Symptom Severity Scale. Then, 185 patients meeting the Rome criteria for IBS rated the consistency (using the Bristol Stool Scale) of each bowel movement (BM) for 90 days and whether the BM was accompanied by pain, urgency, or soiling. Each night, they transferred BM ratings from a paper diary to an internet form and also reported the average daily intensity of abdominal pain, bloating, bowel habit dissatisfaction, and life interference of bowel symptoms. Only the longest sequence of consecutive days of diary data was used in the analysis (average of 73 days).
Results: Patients were 89% females with average age 36.6 years. Among the patients, 78% had both loose/watery and hard/lumpy stools; the average was three fluctuations between these extremes per month. The proportion of loose/watery stools correlated r=0.78 between the first and second months and the proportion of hard/lumpy stools correlated r=0.85 between months. Loose/watery stools were associated with more BM-related pain, urgency, and soiling than hard/lumpy or normal stools; however, IBS-C patients had significantly more BM-unrelated abdominal pain, bloating, dissatisfaction with bowel habits, and life interference than IBS-D patients. Questionnaires overestimated the frequency of abnormal stool consistency and gastrointestinal symptoms compared with diaries.
Conclusions: Stool consistency varies greatly within individuals. However, stool patterns are stable within an individual from month to month. The paradoxical findings of greater symptom severity after individual loose/watery BMs vs. greater overall symptom severity in IBS-C implies different physiological mechanisms for symptoms in constipation compared with diarrhea. Daily symptom monitoring is more sensitive and reliable than a questionnaire."
76,[Dry jelly concentrate with vitamins and dietary fiber in patients with IBS with constipation: a comparative controlled study],Vopr Pitan,V I Pilipenko,,"Irritable bowel syndrome (IBS) is highly prevalent functional gastrointestinal disorder associated with decrease in quality of life and a high social cost. Diet is one of several therapeutic options in IBS treatment; therefore the development and clinical evaluation of innovative functional food for IBS patients is useful. Dry jelly concentrate containing 3 g inulin, 10 mg curcumin and 1.8 mg of pyridoxine was developed and clinically evaluated. Fifty patients fulfilling the Rome III criteria for IBS-C were randomly assigned into two groups: one received standard diet plus two jelly drinks a day for 2 weeks and control group received standard diet. Response to therapy was recorded on a daily basis using Likert scale of abdominal pain, bloating and feeling of incomplete bowel emptying, frequency of bowel movement, Bristol stool scale, and quality of life assessed by IBSQoL questionnaire before and after the treatment. Intake of functional food product (jelly) containing inulin and curcumin is associated with a significant positive effect on the stool parameters (from 0.6±0.24 to 1.15±0.65 t/d in stool frequency, p=0.001, from 2.62±1.23 to 3.99±1.27, index Bristol scale, p=0.001), a reduce of the severity of abdominal pain (from 1.69±0.71 to 1.36±0.44 Likert scale points, p=0.001), bloating (from 2.03±0.89 to 1.55±0.81 points of Likert scale, p=0.02) and a sense of incomplete bowel emptying (from 2.25±0.98 to 1.68±0.92 points of Likert scale, p=0.001), as well as an increase in quality of life (from 64.5±13.5 to 81.2±9.1%, ?=0.05). Patients in control group have improvement in abdominal pain (from 2.16±0.58 to 1.8±0.61 Likert scale points, p=0.05) and bloating (from 2.42±0.83 to 2.16±0.71 Likert scale points, p=0.05) only. During the treatment period no significant adverse events were found. These results indicate that jelly concentrate containing inulin, curcumin and pyridoxine improves abdominal pain score, Bristol scale index and quality of life in patients with IBS-C."
77,Efficacy of double-coated probiotics for irritable bowel syndrome: a randomized double-blind controlled trial,J Gastroenterol,Kyungsun Han,https://doi.org/10.1007/s00535-016-1224-y,"Background: The purpose of this study was to elucidate the effects of a dual-coated probiotic supplement (Duolac Care) on symptoms of diarrhea-predominant irritable bowel syndrome in a randomized double-blind clinical trial.
Methods: Fifty subjects with diarrhea-predominant irritable bowel syndrome were randomly assigned to either the non-coating group or the dual-coating group in order to receive two capsules per day of multi-species probiotics containing 5 billion bacteria per capsule for 4 weeks. Data from an adequate relief questionnaire were used in assessment of primary outcome. Daily records of stool frequencies and the Bristol stool scale, a weekly symptom diary using 100-mm visual analog scale, and Beck depression inventories were collected. Blood tests including blood cell counts, interleukin-10, tumor necrosis factor-alpha and inducible nitric oxide synthase, and regulatory T cells-CD4 + CD25high T cells, CD4 + LAP + T cells and CD25high + LAP + T cells-were analyzed before and after the study. The shift of gut microbiota was investigated using a quantitative real-time polymerase chain reaction assay.
Results: Responses to the adequate relief questionnaire indicated significant improvement in overall discomfort in the dual-coating group and the ratio of normal stools to hard or watery stools had a better effect from dual-coated probiotics compared to non-coated probiotics. This may be due to a shift of intestinal microbiota, as our correlation analysis showed significant negative correlation between Bifidobacterium and urgency of defecation.
Conclusions: Our result implies that dual-coating layers of probiotic supplement can be a candidate for treatment of diarrhea-predominant irritable bowel syndrome."
78,Chronic functional constipation in children: adherence and factors associated with drug treatment,J Pediatr Gastroenterol Nutr,Scilvia A Steiner,https://doi.org/10.1097/mpg.0000000000000255,"Objective: The aim of the present study was to evaluate the treatment adherence of children with chronic functional constipation.
Methods: The present study is a prospective and longitudinal study realized at a pediatric gastroenterology clinic of a Brazilian University Hospital, between August 2009 and October 2011. Rome III criteria and the Bristol Stool Scale were used to define constipation and to characterize feces, respectively. Drug treatment was prescribed for patients according to the protocols previously standardized in the clinic. Specific questionnaires, containing questions related to 1 dependent variable and independent variables were completed in the first and sixth months of the treatment. Independent variables related to the patients, their caregivers, the disease itself, and the therapeutic plan were analyzed and compared with the dependent variable (adherence to the treatment). Adherence was considered when the patient returned with >75% of the prescribed medicine containers empty.
Results: Fifty children participated in both the first and sixth months of treatment. The mean age of the sample was 77.6 ± 43.8 months and the mean age of the onset of symptoms was 18.8 ± 27.9 months. The adherence rate was 38% in the first month and 30% in the sixth month. Patients who were treated with polyethylene glycol had greater adherence than patients who were prescribed other laxatives, with statistical significance in the second moment of the study (P = 0.19 and P = 0.04, respectively).
Conclusions: The study showed low adherence rates to drug treatment of constipation in children. It is necessary to seek new strategies to increase treatment adherence, while avoiding complications and reducing costs."
79,"A prospective, interventional, randomized, double-blind, placebo-controlled clinical study to evaluate the efficacy and safety of Bacillus coagulans LBSC in the treatment of acute diarrhea with abdominal discomfort",Eur J Clin Pharmacol,Chiranjit Maity,https://doi.org/10.1007/s00228-018-2562-x,"Purpose: Increasing resistance towards antibiotics has augmented the use of probiotics for the treatment of diarrhea and associated symptoms. Probiotics are active microorganisms which exert some health benefits when consumed in the right amount. This randomized, double-blind, placebo-controlled clinical trial was conducted on 60 ""intention to treat"" subjects to evaluate the safety and efficacy of probiotic preparation Lactic Acid Bacillus (LAB containing active ingredient Bacillus coagulans strain LBSC) for the treatment of acute diarrhea with abdominal discomfort.
Methods: The Test-A arm (n = 30) was on B. coagulans LBSC [2 billion/g] and Placebo-B arm (n = 30) was on the carrier. The primary outcomes were the time to last unformed stool (TTLUS), number of unformed stools, change in severity of abdominal pain, time to complete resolution of abdominal discomfort, complete remission of diarrhea, and quality of life (QoL). The secondary outcomes were physical examination and vitals, hematological analysis, and assessment of reported adverse events (AEs) or serious adverse events (SAEs).
Results: Trial data showed that the LAB was well-tolerated by participants at the dose provided. The LAB was effective in recovering from acute diarrhea with abdominal pain and discomforts and exhibited improved cluster of QoL. No AEs or SAEs were reported during the trial.
Conclusions: It is evident that the test drug, i.e., LAB (B. coagulans strain LBSC) is safe and effective for improving the pathophysiological conditions related to acute diarrhea and abdominal discomfort evaluated through stage-II clinical trial."
80,Partially hydrolyzed guar gum in pediatric functional abdominal pain,World J Gastroenterol,Claudio Romano,https://doi.org/10.3748/wjg.v19.i2.235,"Aim: To assess the effects of partially hydrolyzed guar gum (PHGG) diet supplement in pediatric chronic abdominal pain (CAP) and irritable bowel syndrome (IBS).
Methods: A randomized, double-blind pilot study was performed in sixty children (8-16 years) with functional bowel disorders, such as CAP or IBS, diagnosed according to Rome III criteria. All patients underwent ultrasound, blood and stool examinations to rule out any organic disease. Patients were allocated to receive PHGG at dosage of 5 g/d (n = 30) or placebo (fruit-juice n = 30) for 4 wk. The evaluation of the efficacy of fiber supplement included IBS symptom severity score (Birmingham IBS Questionnaire), severity of abdominal pain (Wong-Baker Face Pain Rating Score) and bowel habit (Bristol Stool Scale). Symptom scores were completed at 2, 4, and 8 wk. The change from baseline in the symptom severity scale at the end of treatment and at 4 wk follow-up after treatment was the primary endpoint. The secondary endpoint was to evaluate compliance to supplementation with the PHGG in the pediatric population. Differences within groups during the treatment period and follow-up were evaluated by the Wilcoxon signed-rank test.
Results: The results of the study were assessed considering some variables, such as frequency and intensity of symptoms with modifications of the bowel habit. Both groups were balanced for baseline characteristics and all patients completed the study. Group A (PHGG group) presented a higher level of efficacy compared to group B (control group), (43% vs 5%, P = 0.025) in reducing clinical symptoms with modification of Birmingham IBS score (median 0 ± 1 vs 4 ± 1, P = 0.025), in intensity of CAP assessed with the Wong-Baker Face Pain Rating Score and in normalization of bowel habit evaluated with the Bristol Stool Scale (40% vs 13.3%, P = 0.025). In IBS subgroups, statistical analysis shown a tendency toward normalization of bowel movements, but there was no difference in the prevalence of improvement in two bowel habit subsets. PHGG was therefore better tolerated without any adverse effects.
Conclusion: Although the cause of pediatric functional gastrointestinal disorders is not known, the results show that complementary therapy with PHGG may have beneficial effects on symptom control."
